ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
2020-06-10 00:00:00,Maharashtra,India,2021-04-02 15:13:53,90787.0,3289.0,42638.0
2020-06-10 00:00:00,Manipur,India,2021-04-02 15:13:53,304.0,0.0,61.0
2020-06-10 00:00:00,Meghalaya,India,2021-04-02 15:13:53,43.0,1.0,13.0
2020-06-10 00:00:00,Mizoram,India,2021-04-02 15:13:53,88.0,0.0,1.0
2020-06-10 00:00:00,Nagaland,India,2021-04-02 15:13:53,127.0,0.0,10.0
2020-06-10 00:00:00,Odisha,India,2021-04-02 15:13:53,3140.0,9.0,2133.0
2020-06-10 00:00:00,Puducherry,India,2021-04-02 15:13:53,127.0,0.0,52.0
2020-06-10 00:00:00,Punjab,India,2021-04-02 15:13:53,2719.0,55.0,2167.0
2020-06-10 00:00:00,Rajasthan,India,2021-04-02 15:13:53,11245.0,255.0,8328.0
2020-06-10 00:00:00,Sikkim,India,2021-04-02 15:13:53,13.0,0.0,0.0
2020-06-10 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,34914.0,307.0,18325.0
2020-06-10 00:00:00,Telangana,India,2021-04-02 15:13:53,3920.0,148.0,1809.0
2020-06-10 00:00:00,Tripura,India,2021-04-02 15:13:53,864.0,1.0,192.0
2020-06-10 00:00:00,Unknown,India,2021-04-02 15:13:53,9227.0,0.0,0.0
2020-06-10 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,11335.0,301.0,6669.0
2020-06-10 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1537.0,13.0,755.0
2020-06-10 00:00:00,West Bengal,India,2021-04-02 15:13:53,8985.0,415.0,3620.0
2020-06-11 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
2020-06-11 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5429.0,80.0,3048.0
2020-06-11 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,61.0,0.0,4.0
2020-06-11 00:00:00,Assam,India,2021-04-02 15:13:53,3319.0,6.0,1432.0
2020-06-11 00:00:00,Bihar,India,2021-04-02 15:13:53,5983.0,36.0,3266.0
2020-06-11 00:00:00,Chandigarh,India,2021-04-02 15:13:53,332.0,5.0,286.0
2020-06-11 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1398.0,6.0,447.0
2020-06-11 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,30.0,0.0,2.0
2020-06-11 00:00:00,Delhi,India,2021-04-02 15:13:53,34687.0,1085.0,12731.0
2020-06-11 00:00:00,Goa,India,2021-04-02 15:13:53,417.0,0.0,67.0
2020-06-11 00:00:00,Gujarat,India,2021-04-02 15:13:53,22032.0,1385.0,15101.0
2020-06-11 00:00:00,Haryana,India,2021-04-02 15:13:53,5968.0,64.0,2260.0
2020-06-11 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,470.0,6.0,280.0
2020-06-11 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4574.0,52.0,1820.0
2020-06-11 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1599.0,8.0,630.0
2020-06-11 00:00:00,Karnataka,India,2021-04-02 15:13:53,6245.0,72.0,2977.0
2020-06-11 00:00:00,Kerala,India,2021-04-02 15:13:53,2244.0,18.0,968.0
2020-06-11 00:00:00,Ladakh,India,2021-04-02 15:13:53,135.0,1.0,54.0
2020-06-11 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10241.0,431.0,7042.0
2020-06-11 00:00:00,Maharashtra,India,2021-04-02 15:13:53,97648.0,3590.0,46078.0
2020-06-11 00:00:00,Manipur,India,2021-04-02 15:13:53,366.0,0.0,73.0
2020-06-11 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,18.0
2020-06-11 00:00:00,Mizoram,India,2021-04-02 15:13:53,102.0,0.0,1.0
2020-06-11 00:00:00,Nagaland,India,2021-04-02 15:13:53,128.0,0.0,22.0
2020-06-11 00:00:00,Odisha,India,2021-04-02 15:13:53,3386.0,9.0,2354.0
2020-06-11 00:00:00,Puducherry,India,2021-04-02 15:13:53,157.0,2.0,67.0
2020-06-11 00:00:00,Punjab,India,2021-04-02 15:13:53,2887.0,59.0,2259.0
2020-06-11 00:00:00,Rajasthan,India,2021-04-02 15:13:53,11838.0,265.0,8775.0
2020-06-11 00:00:00,Sikkim,India,2021-04-02 15:13:53,14.0,0.0,2.0
2020-06-11 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,38716.0,349.0,20705.0
2020-06-11 00:00:00,Telangana,India,2021-04-02 15:13:53,4320.0,165.0,1993.0
2020-06-11 00:00:00,Tripura,India,2021-04-02 15:13:53,913.0,1.0,278.0
2020-06-11 00:00:00,Unknown,India,2021-04-02 15:13:53,8315.0,0.0,0.0
2020-06-11 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,12088.0,345.0,7292.0
2020-06-11 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1643.0,15.0,842.0
2020-06-11 00:00:00,West Bengal,India,2021-04-02 15:13:53,9768.0,442.0,3988.0
2020-06-12 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
2020-06-12 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5429.0,80.0,3048.0
2020-06-12 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,61.0,0.0,4.0
2020-06-12 00:00:00,Assam,India,2021-04-02 15:13:53,3319.0,6.0,1432.0
2020-06-12 00:00:00,Bihar,India,2021-04-02 15:13:53,5983.0,36.0,3266.0
2020-06-12 00:00:00,Chandigarh,India,2021-04-02 15:13:53,332.0,5.0,286.0
2020-06-12 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1398.0,6.0,447.0
2020-06-12 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,30.0,0.0,2.0
2020-06-12 00:00:00,Delhi,India,2021-04-02 15:13:53,34687.0,1085.0,12731.0
2020-06-12 00:00:00,Goa,India,2021-04-02 15:13:53,417.0,0.0,67.0
2020-06-12 00:00:00,Gujarat,India,2021-04-02 15:13:53,22032.0,1385.0,15101.0
2020-06-12 00:00:00,Haryana,India,2021-04-02 15:13:53,5968.0,64.0,2260.0
2020-06-12 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,470.0,6.0,280.0
2020-06-12 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4574.0,52.0,1820.0
2020-06-12 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1599.0,8.0,630.0
2020-06-12 00:00:00,Karnataka,India,2021-04-02 15:13:53,6245.0,72.0,2977.0
2020-06-12 00:00:00,Kerala,India,2021-04-02 15:13:53,2244.0,18.0,968.0
2020-06-12 00:00:00,Ladakh,India,2021-04-02 15:13:53,135.0,1.0,54.0
2020-06-12 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10241.0,431.0,7042.0
2020-06-12 00:00:00,Maharashtra,India,2021-04-02 15:13:53,97648.0,3590.0,46078.0
2020-06-12 00:00:00,Manipur,India,2021-04-02 15:13:53,366.0,0.0,73.0
2020-06-12 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,18.0
2020-06-12 00:00:00,Mizoram,India,2021-04-02 15:13:53,102.0,0.0,1.0
2020-06-12 00:00:00,Nagaland,India,2021-04-02 15:13:53,128.0,0.0,22.0
2020-06-12 00:00:00,Odisha,India,2021-04-02 15:13:53,3386.0,9.0,2354.0
2020-06-12 00:00:00,Puducherry,India,2021-04-02 15:13:53,157.0,2.0,67.0
2020-06-12 00:00:00,Punjab,India,2021-04-02 15:13:53,2887.0,59.0,2259.0
2020-06-12 00:00:00,Rajasthan,India,2021-04-02 15:13:53,11838.0,265.0,8775.0
2020-06-12 00:00:00,Sikkim,India,2021-04-02 15:13:53,14.0,0.0,2.0
2020-06-12 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,38716.0,349.0,20705.0
2020-06-12 00:00:00,Telangana,India,2021-04-02 15:13:53,4320.0,165.0,1993.0
2020-06-12 00:00:00,Tripura,India,2021-04-02 15:13:53,913.0,1.0,278.0
2020-06-12 00:00:00,Unknown,India,2021-04-02 15:13:53,8315.0,0.0,0.0
2020-06-12 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,12088.0,345.0,7292.0
2020-06-12 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1643.0,15.0,842.0
2020-06-12 00:00:00,West Bengal,India,2021-04-02 15:13:53,9768.0,442.0,3988.0
2020-06-13 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
2020-06-13 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5680.0,80.0,3105.0
2020-06-13 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,67.0,0.0,4.0
2020-06-13 00:00:00,Assam,India,2021-04-02 15:13:53,3498.0,8.0,1537.0
2020-06-13 00:00:00,Bihar,India,2021-04-02 15:13:53,6103.0,36.0,3587.0
2020-06-13 00:00:00,Chandigarh,India,2021-04-02 15:13:53,334.0,5.0,286.0
2020-06-13 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1429.0,6.0,550.0
2020-06-13 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,30.0,0.0,2.0
2020-06-13 00:00:00,Delhi,India,2021-04-02 15:13:53,36824.0,1214.0,13398.0
2020-06-13 00:00:00,Goa,India,2021-04-02 15:13:53,463.0,0.0,69.0
2020-06-13 00:00:00,Gujarat,India,2021-04-02 15:13:53,22527.0,1415.0,15493.0
